id;match_index;one_score;two_score;start_time;end_time;score_submitted;score_approved
1;38520;2907;172;2024-02-27T08:26:36;2024-02-27T13:20:03;true;true
2;26620;455;8845;2024-02-27T14:13:47;2024-02-27T05:12:35;true;true
3;32650;40036;95602;2024-02-27T13:04:22;2024-02-26T22:49:27;false;false
4;93221;87755;96761;2024-02-26T21:28:35;2024-02-27T09:36:56;false;true
5;26939;96639;97981;2024-02-27T14:50:43;2024-02-27T00:42:39;false;true
6;15036;64141;454;2024-02-27T07:43:17;2024-02-26T19:32:42;true;false
7;55899;98566;33432;2024-02-27T15:44:53;2024-02-26T19:06:52;true;false
8;10824;37239;27010;2024-02-27T03:46:59;2024-02-27T04:41:51;false;true
9;99475;79784;63110;2024-02-27T09:33:48;2024-02-27T03:17:36;false;false
10;21022;6554;64194;2024-02-27T17:33:35;2024-02-27T08:10:54;true;false
